Title,Edition,Developer,Platform,Format,Type,UPC
Absolver,Special Reserve,Sloclap,PS4,Blu-ray Disc,game,
Alan Wake II,Deluxe,,PS5,Ultra-HD Blu-ray,game,810136672091
Alien: Isolation,Nostromo,,PS4,Blu-ray Disc,game,010086632002
Among Us,Crewmate,,PS5,Ultra-HD Blu-ray,game,814290017347
Armored Core VI: Fires of Rubicon,Standard,,PS5,Ultra-HD Blu-ray,game,722674130158
Art of Rally,Standard,,PS5,Ultra-HD Blu-ray,game,860006405182
Astro Bot,Standard,,PS5,Ultra-HD Blu-ray,game,717719588948
Back 4 Blood,Standard,,PS5,Ultra-HD Blu-ray,game,883929739875
Balatro,Special,,PS5,Ultra-HD Blu-ray,game,810136671766
Call of Duty: Black Ops III,Standard,,PS4,Blu-ray Disc,game,047875874589
Chicory: A Colorful Tale,Limited Run #125,,PS5,Ultra-HD Blu-ray,game,810148578367
Cocoon,Standard,,PS5,Ultra-HD Blu-ray,game,810136671902
Coffee Talk,Single Shot,,PS5,Ultra-HD Blu-ray,game,810109940417
Control,Ultimate,,PS5,Ultra-HD Blu-ray,game,812872012261
Crisis Core: Final Fantasy VII Reunion,Standard,,PS5,Ultra-HD Blu-ray,game,662248926780
Dark Souls III,The Fire Fades,,PS4,Blu-ray Disc,game,722674121408
Dead Space Remake,Standard,,PS5,Ultra-HD Blu-ray,game,014633381078
Death's Door,Standard,,PS5,Ultra-HD Blu-ray,game,812303017803
Demon's Souls,Standard,,PS3,Blu-ray Disc,game,730865001323
Demon's Souls Remake,Standard,,PS5,Ultra-HD Blu-ray,game,711719541271
Destiny,Standard,,PS4,Blu-ray Disc,game,047875846913
Dragon Age II,Standard,,PS3,Blu-ray Disc,game,014633365368
Dragon Age: Inquisition,Standard,,PS4,Blu-ray Disc,game,014633367621
Dragon Age: Origins,Ultimate,,PS3,Blu-ray Disc,game,014633195248
Dragon Age: The Veilguard,Deluxe,,PS5,Blu-ray Disc,game,014633749069
EA Sports FC 25,Standard,,PS5,Ultra-HD Blu-ray,game,014633382907
EA Sports FIFA 22,Standard,,PS4,Blu-ray Disc,game,014633376746
EA Sports NHL 25,Standard,,PS5,Ultra-HD Blu-ray,game,014633384932
EA Sports WRC,Standard,,PS5,Ultra-HD Blu-ray,game,014633383423
Final Fantasy VII Remake Intergrade,Standard,,PS5,Ultra-HD Blu-ray,game,662248924878
Fort Solis,Standard,,PS5,Ultra-HD Blu-ray,game,819335021921
God of War,Standard,,PS4,Blu-ray Disc,game,711719506096
God of War Ragnarok,Standard,,PS5,Ultra-HD Blu-ray,game,711719546832
Hades,Standard,,PS5,Ultra-HD Blu-ray,game,710425577895
Hollow Knight,Standard,,PS4,Blu-ray Disc,game,850055007635
Horizon Zero Dawn,Standard,,PS4,Blu-ray Disc,game,711719503491
Ico Remastered,Standard,,PS3,Blu-ray Disc,game,711719825920
Immortals of Aveum,Standard,,PS5,Ultra-HD Blu-ray,game,014633383676
In Stars and Time,Limited Run #127,,PS5,Ultra-HD Blu-ray,game,810148578381
It Takes Two,Standard,,PS4,Blu-ray Disc,game,014633746280
Judgment,Standard,,PS5,Ultra-HD Blu-ray,game,011086632705
Life is Strange: True Colors,Standard,,PS5,Ultra-HD Blu-ray,game,662248925080
Like a Dragon: Ishin!,Standard,,PS5,Ultra-HD Blu-ray,game,010086632989
Lost Judgment,Standard,,PS5,Ultra-HD Blu-ray,game,010086632712
Mass Effect Legendary Edition,Standard,,PS4,Blu-ray Disc,game,014633742831
Mass Effect: Andromeda,Deluxe,,PS4,Blu-ray Disc,game,014633371260
Neon White,Standard,,PS5,Ultra-HD Blu-ray,game,811949036193
Neva,Standard,,PS5,Ultra-HD Blu-ray,game,810136672275
NieR: Automata,Game of the YoRHa,,PS4,Blu-ray Disc,game,662248922232
Nioh 2 Remastered,Complete,,PS5,Ultra-HD Blu-ray,game,711719545903
Nioh Remastered,Complete,,PS5,Ultra-HD Blu-ray,game,711719545903
Persona 5 Strikers,Standard,,PS4,Blu-ray Disc,game,010086220346
Sekiro: Shadows Die Twice,Standard,,PS4,Blu-ray Disc,game,047875882935
Shadow of the Colossus Remastered,Standard,,PS3,Blu-ray Disc,game,711719825920
Split Fiction,Standard,,PS5,Ultra-HD Blu-ray,game,014633385151
Star Wars Jedi: Survivor,Deluxe,,PS5,Ultra-HD Blu-ray,game,014633748611
The Elder Scrolls Online,Imperial,,PS4,Blu-ray Disc,game,571650480578
The Elder Scrolls V: Skyrim,Special,,PS4,Blu-ray Disc,game,093155171275
The Invincible,Standard,,PS5,Ultra-HD Blu-ray,game,819335021976
The Last Guardian,Standard,,PS4,Blu-ray Disc,game,711719503415
The Last of Us Part I,Standard,,PS5,Ultra-HD Blu-ray,game,711719553410
The Last of Us Part II,Standard,,PS4,Blu-ray Disc,game,711719519027
The Last of Us Remastered,Standard,,PS4,Blu-ray Disc,game,711719051800
The Pathless,Standard,,PS5,Ultra-HD Blu-ray,game,850021640187
The Stanley Parable Ultra Deluxe,Standard,,PS5,Ultra-HD Blu-ray,game,810136671476
Uncharted 2: Among Thieves Remastered,Standard,,PS4,Blu-ray Disc,game,711719501374
Uncharted 3: Drake's Deception Remastered,Standard,,PS4,Blu-ray Disc,game,711719501374
Uncharted 4: A Thief's End Remastered,Standard,,PS5,Ultra-HD Blu-ray,game,711719546825
Uncharted: Drake's Fortune Remastered,Standard,,PS4,Blu-ray Disc,game,711719501374
Uncharted: The Lost Legacy Remastered,Standard,,PS5,Ultra-HD Blu-ray,game,711719546825
Wild Hearts,Standard,,PS5,Ultra-HD Blu-ray,game,014633748048
Wizardry: Proving Grounds of the Mad Overlord,Standard,,PS5,Ultra-HD Blu-ray,game,810174080100
Yakuza: Like a Dragon,Standard,,PS5,Ultra-HD Blu-ray,game,010086632699
13 Sentinels: Aegis Rim,Standard,,PS4,Blu-ray Disc,game,730865220311
Dead Cells,Return to Castlevania,,PS5,Ultra-HD Blu-ray,game,819335021808
Red Dead Redemption,Standard,Rockstar Games,PS4,Blu-ray Disc,game,710425671463
Red Dead Redemption II,Standard,Rockstar Games,PS4,Blu-ray Disc,game,710425478925
